#Gene Ontology derivation source to the child term of cellular component.
#Ver. Dec. 2020.
#Citation: Haiting Chai, Quan Gu, Joseph Hughes and David L. Robertson (202X), In silico prediction of HIV-1-host molecular interactions and their directionality, PLOS Computational Biology, XX(X): XXX-XXX, PMID: XXXXXXXX.
GO_ID	GO_name	GO_root_term(s)
GO:0005576	extracellular_region	GO:0005576;
GO:0005623	cell	GO:0005623;
GO:0009295	nucleoid	GO:0009295;
GO:0016020	membrane	GO:0016020;
GO:0019012	virion	GO:0019012;
GO:0030054	cell_junction	GO:0030054;
GO:0031974	membrane-enclosed_lumen	GO:0031974;
GO:0032991	protein-containing_complex	GO:0032991;
GO:0043226	organelle	GO:0043226;
GO:0044215	other_organism	GO:0044215;
GO:0044217	other_organism_part	GO:0044217;
GO:0044421	extracellular_region_part	GO:0044421;
GO:0044422	organelle_part	GO:0044422;
GO:0044423	virion_part	GO:0044423;
GO:0044425	membrane_part	GO:0044425;
GO:0044456	synapse_part	GO:0044456;
GO:0044464	cell_part	GO:0044464;
GO:0045202	synapse	GO:0045202;
GO:0055044	symplast	GO:0055044;
GO:0097423	mitochondrion-associated_adherens_complex	GO:0097423;
GO:0099080	supramolecular_complex	GO:0099080;
GO:0000015	phosphopyruvate_hydratase_complex	GO:0032991;GO:0044464;
GO:0000109	nucleotide-excision_repair_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000110	nucleotide-excision_repair_factor_1_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000111	nucleotide-excision_repair_factor_2_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000112	nucleotide-excision_repair_factor_3_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000113	nucleotide-excision_repair_factor_4_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000118	histone_deacetylase_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000120	RNA_polymerase_I_transcription_factor_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000123	histone_acetyltransferase_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000124	SAGA_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000125	PCAF_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000126	transcription_factor_TFIIIB_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000127	transcription_factor_TFIIIC_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000131	incipient_cellular_bud_site	GO:0044464;
GO:0000133	polarisome	GO:0032991;GO:0044464;
GO:0000136	alpha-1,6-mannosyltransferase_complex	GO:0032991;GO:0044422;GO:0044425;GO:0044464;
GO:0000137	Golgi_cis_cisterna	GO:0044422;GO:0044464;
GO:0000138	Golgi_trans_cisterna	GO:0044422;GO:0044464;
GO:0000139	Golgi_membrane	GO:0016020;GO:0044422;GO:0044464;
GO:0000142	cellular_bud_neck_contractile_ring	GO:0044422;GO:0044464;
GO:0000144	cellular_bud_neck_septin_ring	GO:0043226;GO:0044422;GO:0044464;
GO:0000145	exocyst	GO:0032991;GO:0044464;
GO:0000148	1,3-beta-D-glucan_synthase_complex	GO:0032991;GO:0044425;GO:0044464;
GO:0000151	ubiquitin_ligase_complex	GO:0032991;GO:0044464;
GO:0000152	nuclear_ubiquitin_ligase_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000153	cytoplasmic_ubiquitin_ligase_complex	GO:0032991;GO:0044464;
GO:0000159	protein_phosphatase_type_2A_complex	GO:0032991;GO:0044464;
GO:0000164	protein_phosphatase_type_1_complex	GO:0032991;GO:0044464;
GO:0000172	ribonuclease_MRP_complex	GO:0032991;
GO:0000176	nuclear_exosome_(RNase_complex)	GO:0032991;GO:0044422;GO:0044464;
GO:0000177	cytoplasmic_exosome_(RNase_complex)	GO:0032991;GO:0044464;
GO:0000178	exosome_(RNase_complex)	GO:0032991;GO:0044464;
GO:0000214	tRNA-intron_endonuclease_complex	GO:0032991;GO:0044422;GO:0044464;
GO:0000220	vacuolar_proton-transporting_V-type_ATPase,_V0_domain	GO:0032991;GO:0044422;GO:0044425;GO:0044464;
GO:0000221	vacuolar_proton-transporting_V-type_ATPase,_V1_domain	GO:0032991;GO:0044422;GO:0044425;GO:0044464;
GO:0000222	plasma_membrane_proton-transporting_V-type_ATPase,_V0_domain	GO:0032991;GO:0044425;GO:0044464;
GO:0000223	plasma_membrane_proton-transporting_V-type_ATPase,_V1_domain	GO:0032991;GO:0044425;GO:0044464;
GO:0000228	nuclear_chromosome	GO:0043226;GO:0044422;GO:0044464;
GO:0000229	cytoplasmic_chromosome	GO:0043226;GO:0044464;
GO:0000235	astral_microtubule	GO:0044422;GO:0044464;GO:0099080;
GO:0000242	pericentriolar_material	GO:0044422;GO:0044464;
GO:0000243	commitment_complex	GO:0032991;GO:0044422;GO:0044464;
