#Gene Ontology derivation source to the child term of biological process.
#Ver. Dec. 2020.
#Citation: Haiting Chai, Quan Gu, Joseph Hughes and David L. Robertson (202X), In silico prediction of HIV-1-host molecular interactions and their directionality, PLOS Computational Biology, XX(X): XXX-XXX, PMID: XXXXXXXX.
GO_ID	GO_name	GO_root_term(s)
GO:0000003	reproduction	GO:0000003;
GO:0001906	cell_killing	GO:0001906;
GO:0002376	immune_system_process	GO:0002376;
GO:0006791	sulfur_utilization	GO:0006791;
GO:0006794	phosphorus_utilization	GO:0006794;
GO:0007610	behavior	GO:0007610;
GO:0008152	metabolic_process	GO:0008152;
GO:0008283	cell_population_proliferation	GO:0008283;
GO:0009758	carbohydrate_utilization	GO:0009758;
GO:0009987	cellular_process	GO:0009987;
GO:0015976	carbon_utilization	GO:0015976;
GO:0019740	nitrogen_utilization	GO:0019740;
GO:0022414	reproductive_process	GO:0022414;
GO:0022610	biological_adhesion	GO:0022610;
GO:0023052	signaling	GO:0023052;
GO:0032501	multicellular_organismal_process	GO:0032501;
GO:0032502	developmental_process	GO:0032502;
GO:0040007	growth	GO:0040007;
GO:0040011	locomotion	GO:0040011;
GO:0043473	pigmentation	GO:0043473;
GO:0044848	biological_phase	GO:0044848;
GO:0048511	rhythmic_process	GO:0048511;
GO:0050896	response_to_stimulus	GO:0050896;
GO:0051179	localization	GO:0051179;
GO:0051704	multi-organism_process	GO:0051704;
GO:0065007	biological_regulation	GO:0065007;
GO:0071840	cellular_component_organization_or_biogenesis	GO:0071840;
GO:0098743	cell_aggregation	GO:0098743;
GO:0098754	detoxification	GO:0098754;
GO:0000001	mitochondrion_inheritance	GO:0009987;GO:0051179;GO:0071840;
GO:0000002	mitochondrial_genome_maintenance	GO:0009987;GO:0071840;
GO:0000011	vacuole_inheritance	GO:0009987;GO:0071840;
GO:0000012	single_strand_break_repair	GO:0008152;GO:0009987;GO:0050896;
GO:0000017	alpha-glucoside_transport	GO:0051179;
GO:0000018	regulation_of_DNA_recombination	GO:0065007;
GO:0000019	regulation_of_mitotic_recombination	GO:0065007;
GO:0000022	mitotic_spindle_elongation	GO:0009987;
GO:0000023	maltose_metabolic_process	GO:0008152;GO:0009987;
GO:0000024	maltose_biosynthetic_process	GO:0008152;GO:0009987;
GO:0000025	maltose_catabolic_process	GO:0008152;GO:0009987;
GO:0000027	ribosomal_large_subunit_assembly	GO:0009987;GO:0071840;
GO:0000028	ribosomal_small_subunit_assembly	GO:0009987;GO:0071840;
GO:0000032	cell_wall_mannoprotein_biosynthetic_process	GO:0008152;GO:0009987;
GO:0000038	very_long-chain_fatty_acid_metabolic_process	GO:0008152;GO:0009987;
GO:0000041	transition_metal_ion_transport	GO:0051179;
GO:0000045	autophagosome_assembly	GO:0009987;GO:0071840;
GO:0000050	urea_cycle	GO:0008152;GO:0009987;
GO:0000052	citrulline_metabolic_process	GO:0008152;GO:0009987;
GO:0000053	argininosuccinate_metabolic_process	GO:0008152;GO:0009987;
