#Gene Ontology mapping source to the child term of molecular function.
#Ver. Dec. 2020.
#Citation: Haiting Chai, Quan Gu, Joseph Hughes and David L. Robertson (202X), In silico prediction of HIV-1-host molecular interactions and their directionality, PLOS Computational Biology, XX(X): XXX-XXX, PMID: XXXXXXXX.
GO_ID	GO_name	GO_root_term(s)
GO:0003824	catalytic_activity	GO:0003824;
GO:0005198	structural_molecule_activity	GO:0005198;
GO:0005215	transporter_activity	GO:0005215;
GO:0005488	binding	GO:0005488;
GO:0016209	antioxidant_activity	GO:0016209;
GO:0031386	protein_tag	GO:0031386;
GO:0038024	cargo_receptor_activity	GO:0038024;
GO:0044183	protein_folding_chaperone	GO:0044183;
GO:0045182	translation_regulator_activity	GO:0045182;
GO:0045735	nutrient_reservoir_activity	GO:0045735;
GO:0060089	molecular_transducer_activity	GO:0060089;
GO:0090729	toxin_activity	GO:0090729;
GO:0098772	molecular_function_regulator	GO:0098772;
GO:0140104	molecular_carrier_activity	GO:0140104;
GO:0140110	transcription_regulator_activity	GO:0140110;
GO:0140299	small_molecule_sensor_activity	GO:0140299;
GO:0000006	high-affinity_zinc_transmembrane_transporter_activity	GO:0005215;
GO:0000007	low-affinity_zinc_ion_transmembrane_transporter_activity	GO:0005215;
GO:0000009	alpha-1,6-mannosyltransferase_activity	GO:0003824;
GO:0000010	trans-hexaprenyltranstransferase_activity	GO:0003824;
GO:0000014	single-stranded_DNA_endodeoxyribonuclease_activity	GO:0003824;
GO:0000016	lactase_activity	GO:0003824;
GO:0000026	alpha-1,2-mannosyltransferase_activity	GO:0003824;
GO:0000030	mannosyltransferase_activity	GO:0003824;
GO:0000031	mannosylphosphate_transferase_activity	GO:0003824;
GO:0000033	alpha-1,3-mannosyltransferase_activity	GO:0003824;
GO:0000034	adenine_deaminase_activity	GO:0003824;
GO:0000035	acyl_binding	GO:0005488;
GO:0000036	acyl_carrier_activity	GO:0005488;GO:0140104;
GO:0000048	peptidyltransferase_activity	GO:0003824;
GO:0000049	tRNA_binding	GO:0005488;
GO:0000062	fatty-acyl-CoA_binding	GO:0005488;
GO:0000064	L-ornithine_transmembrane_transporter_activity	GO:0005215;
GO:0000095	S-adenosyl-L-methionine_transmembrane_transporter_activity	GO:0005215;
GO:0000099	sulfur_amino_acid_transmembrane_transporter_activity	GO:0005215;
GO:0000100	S-methylmethionine_transmembrane_transporter_activity	GO:0005215;
GO:0000102	L-methionine_secondary_active_transmembrane_transporter_activity	GO:0005215;
GO:0000104	succinate_dehydrogenase_activity	GO:0003824;
GO:0000107	imidazoleglycerol-phosphate_synthase_activity	GO:0003824;
GO:0000121	glycerol-1-phosphatase_activity	GO:0003824;
GO:0000140	acylglycerone-phosphate_reductase_activity	GO:0003824;
GO:0000146	microfilament_motor_activity	GO:0003824;
GO:0000149	SNARE_binding	GO:0005488;
GO:0000150	recombinase_activity	GO:0003824;
GO:0000155	phosphorelay_sensor_kinase_activity	GO:0003824;
GO:0000156	phosphorelay_response_regulator_activity	GO:0060089;
GO:0000166	nucleotide_binding	GO:0005488;
GO:0000170	sphingosine_hydroxylase_activity	GO:0003824;
GO:0000171	ribonuclease_MRP_activity	GO:0003824;
GO:0000175	3'-5'-exoribonuclease_activity	GO:0003824;
GO:0000179	rRNA_(adenine-N6,N6-)-dimethyltransferase_activity	GO:0003824;
GO:0000182	rDNA_binding	GO:0005488;
GO:0000210	NAD+_diphosphatase_activity	GO:0003824;
GO:0000213	tRNA-intron_endonuclease_activity	GO:0003824;
GO:0000215	tRNA_2'-phosphotransferase_activity	GO:0003824;
GO:0000217	DNA_secondary_structure_binding	GO:0005488;
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine_amidase_activity	GO:0003824;
GO:0000225	N-acetylglucosaminylphosphatidylinositol_deacetylase_activity	GO:0003824;
GO:0000227	oxaloacetate_secondary_active_transmembrane_transporter_activity	GO:0005215;
GO:0000234	phosphoethanolamine_N-methyltransferase_activity	GO:0003824;
